Symbol,Name,Sector,Industry
A,Agilent Technologies Inc. Common Stock,Industrials,Electrical Products
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores
AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,Health Care,Other Pharmaceuticals
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
ABT,Abbott Laboratories Common Stock,Health Care,Medical/Dental Instruments
ACC,American Campus Communities Inc Common Stock,Real Estate,Real Estate Investment Trusts
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains
ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical
ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
ADM,Archer-Daniels-Midland Company Common Stock,,
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
AEE,Ameren Corporation Common Stock,Utilities,Power Generation
AEL,American Equity Investment Life Holding Company Common Stock,Finance,Life Insurance
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components
AGR,Avangrid Inc. Common Stock,Utilities,Electric Utilities: Central
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
AIT,Applied Industrial Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
AIZ,Assurant Inc. Common Stock,Finance,Specialty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,Industrials,Military/Government/Technical
AL,Air Lease Corporation Class A Common Stock,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,Industrials,Industrial Specialties
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
ALLY,Ally Financial Inc. Common Stock,Finance,Diversified Financial Services
ALSN,Allison Transmission Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
AM,Antero Midstream Corporation Common Stock,Utilities,Natural Gas Distribution
AME,AMETEK Inc.,Consumer Discretionary,Metal Fabrications
AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,Health Care,Assisted Living Services
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers
AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
AMT,American Tower Corporation (REIT) Common Stock,Finance,Trusts Except Educational Religious and Charitable
AN,AutoNation Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
ANTM,Anthem Inc. Common Stock,Health Care,Medical Specialities
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Specialty Insurers
AOS,A.O. Smith Corporation Common Stock,Industrials,Industrial Machinery/Components
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,Industrials,Specialty Chemicals
APH,Amphenol Corporation Common Stock,Technology,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,Real Estate,Real Estate Investment Trusts
AQUA,Evoqua Water Technologies Corp. Common Stock,Industrials,Office Equipment/Supplies/Services
ARCH,Arch Resources Inc. Class A Common Stock,Energy,Coal Mining
ARE,Alexandria Real Estate Equities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ARW,Arrow Electronics Inc. Common Stock,Technology,Electronic Components
ASB,Associated Banc-Corp Common Stock,Finance,Major Banks
ASGN,ASGN Incorporated Common Stock,Technology,EDP Services
ASH,Ashland Global Holdings Inc. Common Stock,Industrials,Specialty Chemicals
ATI,Allegheny Technologies Incorporated Common Stock,Industrials,Steel/Iron Ore
ATKR,Atkore Inc. Common Stock,Technology,Electrical Products
ATO,Atmos Energy Corporation Common Stock,Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,Health Care,Medical/Dental Instruments
ATUS,Altice USA Inc. Class A Common Stock,Telecommunications,Telecommunications Equipment
AVA,Avista Corporation Common Stock,Utilities,Power Generation
AVB,AvalonBay Communities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AVLR,Avalara Inc. Common Stock,Technology,EDP Services
AVNT,Avient Corporation Common Stock,Industrials,Major Chemicals
AVY,Avery Dennison Corporation Common Stock,Miscellaneous,Office Equipment/Supplies/Services
AWI,Armstrong World Industries Inc Common Stock,,
AWK,American Water Works Company Inc. Common Stock,Utilities,Water Supply
AWR,American States Water Company Common Stock,Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,Finance,Savings Institutions
AXP,American Express Company Common Stock,Finance,Finance: Consumer Services
AXTA,Axalta Coating Systems Ltd. Common Shares,Consumer Discretionary,Paints/Coatings
AYI,Acuity Brands Inc. ,Consumer Discretionary,Building Products
AYX,Alteryx Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,,
AZO,AutoZone Inc. Common Stock,,
BA,Boeing Company (The) Common Stock,Industrials,Aerospace
BAC,Bank of America Corporation Common Stock,Finance,Major Banks
BAH,Booz Allen Hamilton Holding Corporation Common Stock,Consumer Discretionary,Professional Services
BALL,Ball Corporation Common Stock,Industrials,Containers/Packaging
BAX,Baxter International Inc. Common Stock,Health Care,Medical/Dental Instruments
BBWI,Bath & Body Works Inc.,Miscellaneous,Diversified Commercial Services
BBY,Best Buy Co. Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,Consumer Discretionary,Homebuilding
BCC,Boise Cascade L.L.C. Common Stock,,
BCO,Brinks Company (The) Common Stock,Technology,Security Systems Services
BDC,Belden Inc Common Stock,Telecommunications,Telecommunications Equipment
BDX,Becton Dickinson and Company Common Stock,Health Care,Medical/Dental Instruments
BEN,Franklin Resources Inc. Common Stock,Finance,Investment Managers
BERY,Berry Global Group Inc. Common Stock,Industrials,Plastic Products
BFAM,Bright Horizons Family Solutions Inc. Common Stock,Consumer Discretionary,Other Consumer Services
BFH,Bread Financial Holdings Inc. Common Stock,Finance,Diversified Financial Services
BG,Bunge Limited Bunge Limited,Consumer Staples,Packaged Foods
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BK,The Bank of New York Mellon Corporation Common Stock,Finance,Investment Managers
BKH,Black Hills Corporation Common Stock,Utilities,Electric Utilities: Central
BKU,BankUnited Inc. Common Stock,Finance,Savings Institutions
BLD,TopBuild Corp. Common Stock,Industrials,Engineering & Construction
BLDR,Builders FirstSource Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
BMI,Badger Meter Inc. Common Stock,Industrials,Industrial Machinery/Components
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BNL,Broadstone Net Lease Inc. Common Stock,Finance,Investment Managers
BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks
